@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
61191657,1116128,229844005,565449035,564184701,312618,561633,0,11,223929,286785015,6,M1
62108328,1128896,233337253,456076234,568824298,332109,922568,0,13,221267,233491493,13,M1
122762672,1133297,233645603,282527173,565551141,328491,575147,0,12,234101,146230165,6,M1
59307783,1108458,226043066,277093679,552838787,282858,549784,0,11,221424,282771066,6,M1
124259309,574134,231578978,453071456,283583161,639176,902504,0,11,222816,231348170,13,M1
122011586,556640,234100939,282697588,283248380,626176,1105489,0,13,243782,146162969,13,M1
108250449,386727,238374457,238967790,238044926,153932,775205,0,29,1970292,149624855,7,M0
86099379,387966,243713949,378583761,239030702,155957,766280,0,25,2043754,301117086,14,M0
53512197,764763,240697237,376829410,471407117,73932,614453,0,28,2046429,241617888,14,M0
52725858,755938,242276860,235014272,469514662,73858,377367,0,28,2143957,303630233,14,M0
53624411,765257,242801233,238006527,477786456,74639,378857,0,25,2044129,302680650,7,M0
53362036,772488,241497398,237531455,474849546,75910,383760,0,26,1983899,303046134,7,M0
53580558,382760,239508167,471777390,235326779,149798,764709,0,31,1963343,298930483,14,M0
54341825,781336,240685628,480049375,478796267,76528,389476,0,24,1991961,301817157,7,M0
52448045,759027,239549755,232308613,462580857,73607,378973,0,28,2048651,300031653,7,M0
108106283,771538,241387897,240725440,239473328,78125,779588,0,29,2004496,151951726,14,M0
53387218,773515,239943260,238237790,473714525,76213,389976,0,28,1990522,301489748,14,M0
54095812,773380,240520711,237673352,474055207,76673,390335,0,30,2007043,299984471,7,M0
107996740,385322,239012827,239604487,473867531,152520,385152,0,29,1986491,150187763,7,M0
107545726,388117,242948930,237787860,478723130,150063,379478,0,24,2040992,151810270,7,M0
54355227,774586,239872505,473924664,238188691,76083,785987,0,25,1973922,298076908,14,M0
108884154,776807,242104799,475501326,238519703,76722,782791,0,29,2011484,150880925,7,M0
53936888,769598,241247160,478176291,239649018,75510,766663,0,28,1995168,301853646,14,M0
53513617,768365,241434570,473808902,472033079,76531,386151,0,29,2029124,301806391,7,M0
54139045,767274,240276940,239128841,474531439,75861,384109,0,25,2010809,301056523,14,M0
54176855,786434,239949973,241047745,479363746,74216,392227,0,32,1912283,301148530,7,M0
53662872,770704,238330398,238686280,472265630,75168,388330,0,30,1966300,300284283,7,M0
107341806,394027,241318448,476573047,239653209,152595,770482,0,29,1956837,150113178,14,M0
53837212,386207,240149799,477806612,237770022,148834,768183,0,26,2002183,301364052,14,M0
53972722,769238,240324945,470540812,471417185,75726,386157,0,25,1999587,299259513,14,M0
53636515,755619,242957103,469773335,236557056,79309,755563,0,31,2097088,300778419,7,M0
53481874,771262,240194257,472509759,473197748,74226,381812,0,29,1988370,300751366,7,M0
108357464,384624,241161551,473231099,476001543,153385,386205,0,30,1982403,150149910,7,M0
53642281,760636,240477007,378543905,475520779,76177,613272,0,25,2013070,240218154,14,M0
85337278,386660,241438433,380462665,236975893,153536,770082,0,27,2008284,302163287,14,M0
105691140,763829,239519503,234791151,465406428,74589,383299,0,30,2066969,150783806,7,M0
53654652,387606,240575124,476346116,237008533,151226,770667,0,26,1956461,302134407,14,M0
54593339,778906,242046758,479701691,480785971,78432,390668,0,26,1948753,301231175,7,M0
53682560,778295,240359592,472537539,473142882,75939,388323,0,27,2004197,298564348,7,M0
54213039,780028,241646369,240992695,480142096,78536,390513,0,26,1981525,303438322,7,M0
84967076,774191,243069201,375456298,473575327,74209,618404,0,28,2086779,150429313,14,M0
53494999,385704,240347246,473484320,471779692,150981,381884,0,27,2002948,301282664,14,M0
54136587,756742,241652106,237710299,475195108,75859,380893,0,24,2048177,301311820,7,M0
54049134,391765,240735309,238983884,239174024,149924,772154,0,30,1933855,301049971,7,M0
53704486,762184,241828442,472362864,471596492,76774,383881,0,28,2088464,301619665,14,M0
108021838,387536,242631761,470816394,474136904,152044,388113,0,26,2048945,150565192,14,M0
53290852,383806,240601793,466771614,234020404,148176,760131,0,28,2084692,299254758,14,M0
53954065,772355,239131098,476678105,472886870,76758,387004,0,29,1996799,300381707,14,M0
107657347,771968,241090748,238318546,474255354,77098,387334,0,26,2036014,151566480,7,M0
54200543,382133,242047142,475710470,238137410,153938,768290,0,29,2064436,301899814,14,M0
53848185,386801,240019292,471526579,235932789,150521,769422,0,29,2063366,299146861,14,M0
107356047,384500,239140135,238060116,470876998,152045,386755,0,28,1983239,150204128,7,M0
53125447,763998,240621068,466683296,234217762,73660,763933,0,26,2057192,299127202,14,M0
53690640,762615,239464374,238783879,473268238,76476,380887,0,25,1982840,301725718,7,M0
53915211,760805,240795923,237054279,471164358,76451,381877,0,25,2056556,302076296,7,M0
54130710,757544,242581218,472628527,237836509,75955,758683,0,24,2070197,301642352,14,M0
125361926,4406607,1084864783,582337887,575631003,1189049,4440449,0,143,4632847,685037963,72,M0
128778415,8580216,1073433450,590071260,576933599,1220846,4425711,0,145,4531023,675157657,68,M0
133838000,4576239,1119991115,1168837076,601156941,1172682,4507242,0,143,4702549,681524799,74,M0
127089225,4871116,1121412567,942242336,584640672,1228726,7842580,0,120,4627519,1128210461,110,M0
126106763,4221593,1075436078,571906117,574357304,1189352,4272711,0,137,4580684,664384388,89,M0
127474805,4354294,1075998846,590838677,583731140,1206309,4432019,0,138,4422917,678560956,72,M0
129154760,4527258,1083890029,589216559,581871977,1225563,4634472,0,135,4581032,681772270,69,M0
126152358,4278221,1097647156,589809804,592475347,1171483,4208312,0,136,4538992,688043040,73,M0
127344804,4504183,1099846202,599727084,593806337,1229439,4455923,0,143,4568261,692547397,69,M0
135224198,8695813,1112956011,1187755192,589922204,1237601,4463981,0,148,4705099,1374450343,68,M0
128468101,4395348,1114754940,1168041594,601071003,1176382,4343172,0,136,4554625,682211502,143,M0
123707506,4481459,1088842394,576742536,575533931,1215519,4495221,0,141,4460245,676461886,72,M0
128265689,4403949,1121185789,1159731433,600752949,1206090,8574408,0,147,4746552,679178528,149,M0
128187502,8982180,1097703945,590097138,582210760,1206785,4625465,0,140,4317339,693073966,65,M0
131235939,4295356,1087325549,589310782,588679136,1212244,4385507,0,133,4552821,675128533,71,M0
129190344,4455863,1122115642,595536240,599346492,1225978,4472066,0,156,4771513,695549887,64,M0
128564953,8583099,1072854682,576379794,581644283,1201613,4384981,0,132,4592450,1325354517,72,M0
127408046,4539001,1123499183,953295740,596427725,1201732,7240114,0,146,4510668,1116267661,120,M0
130599402,4470347,1092280052,592904569,590450467,1205782,4508928,0,140,4530703,688158375,73,M0
129306598,4325607,1100235769,592374477,589485572,1204207,4381762,0,143,4611335,687904490,73,M0
125293422,4665675,1110154860,575203705,584859892,1197794,4584354,0,138,4503670,680058653,74,M0
198987121,4774121,1134447254,930532580,583462560,1191375,4755618,0,137,4650055,709159911,73,M0
127382956,4396458,1102051040,582958463,587497332,1199497,4298969,0,140,4631939,679750405,75,M0
126431765,8634644,1079623670,582731032,575354938,1212401,4411407,0,137,4602695,677368636,72,M0
126611318,4661689,1128767514,577168314,589054133,1186062,4548417,0,137,4640710,689810307,71,M0
130630321,4449216,1104594226,585749954,593348597,1190091,4413031,0,138,4705150,684708741,71,M0
124621356,4846775,1146900199,581308148,581678830,1186738,4767012,0,153,4557156,713154857,70,M0
133387977,4411085,1128906941,596189881,606374491,1202414,4320770,0,146,4671807,691741855,69,M0
249391141,4383928,1082781592,602379407,583147603,1181459,4332079,0,138,4505018,696319967,77,M0
129702814,4333748,1091665571,596929225,590758428,1228946,4412997,0,140,4499049,687067192,68,M0
127320536,4520438,1114572574,587424757,591035082,1175687,4438525,0,140,4503985,697320813,77,M0
125134417,4304153,1079614949,588364304,584761512,1193128,4316831,0,142,4493832,684351298,69,M0
129432881,4380514,1106888447,584497875,587296470,1219898,4372537,0,133,4646252,683828445,73,M0
124115368,4326356,1081763764,574889928,575382158,1212305,4415907,0,132,4645304,669435166,75,M0
124719655,4547581,1097790834,588130708,583297233,1205522,4579449,0,134,4599980,699204405,71,M0
122019069,4331039,1083932650,904765235,572251878,1142367,6785482,0,133,4578380,1074730889,115,M0
126894778,4339797,1099551837,577131435,591759959,1204931,4311523,0,136,4584524,673215917,74,M0
132565605,4420671,1118332867,604981726,603685281,1187991,4398373,0,142,4645819,698119253,71,M0
128429392,4539349,1107241021,612421339,598064374,1174542,4445181,0,131,4458016,705442273,74,M0
128513582,4364016,1102394864,581777605,588743138,1207962,4469881,0,143,4578884,681976587,69,M0
125580329,4557307,1120037836,924487496,583762293,1187706,7225511,0,143,4596983,1120067686,117,M0
134998748,8745782,1112029157,1177666113,597066208,1190103,4486474,0,136,4694090,1368186616,73,M0
132152480,4354087,1113734153,1165322363,600448744,1211936,4351748,0,159,4577162,1351000476,75,M0
129726534,8666031,1106470493,586596940,586486945,1233773,4432267,0,119,4678288,1364279504,66,M0
125457538,4562693,1094598682,577069478,569848069,1193579,4669477,0,139,4548038,681040282,70,M0
127844873,4407291,1114072188,601084868,600949616,1219839,4338267,0,158,4693891,696444459,70,M0
126378897,4324760,1062278784,583155615,582375575,1195851,4374337,0,135,4248802,665827116,74,M0
126081517,4651385,1116274744,596398184,595564696,1221259,4597273,0,151,4612455,700789572,74,M0
255208833,4505283,1115346039,602610622,606354637,2396376,8817224,0,138,4641422,705761181,80,M0
125982111,4659348,1113326742,597828616,588325546,1230504,4711532,0,130,4728739,700888695,73,M0
53061741,1097271,230688498,493762642,248250128,779169,2208524,0,36,692899,287176565,13,M1
53507878,2246002,230276922,493900562,496599730,394277,1127817,0,32,704444,286129405,13,M1
52928058,1059624,227720686,497441652,247930660,774075,2110254,0,28,695447,283345570,13,M1
106345361,2203414,230459777,245480485,497242167,380084,1080293,0,29,688293,143244976,6,M1
107559076,1082002,232341605,250203415,250018212,788813,2168333,0,32,685809,145206038,13,M1
53446088,2094864,229526753,495537091,497426585,391966,1045963,0,38,680194,286334966,13,M1
104453178,1063825,230781027,243776972,487323414,752425,1052598,0,30,720425,144733146,6,M1
53259986,2042482,230053324,497102202,494929539,386568,1035632,0,27,694287,287110870,6,M1
53371326,2101498,229803052,494905731,249306578,383882,2108185,0,30,697411,285564695,13,M1
27847533,565151,59869061,64539474,129755643,102041,283695,0,8,183241,37298703,1,M1
53154632,2003111,228535309,491086694,489285561,378074,1009599,0,38,673379,285103738,6,M1
105861476,2222724,229132321,246746476,490886329,382675,1102161,0,33,695022,143460105,6,M1
53458016,2193334,230230541,249770988,501368107,395167,1105973,0,37,687628,287910489,6,M1
52721947,2117474,230618082,492943821,495849819,375090,1045344,0,27,677226,287711093,6,M1
53890625,1112253,229198036,502193364,499045317,808521,1129521,0,29,712277,287767263,13,M1
106459813,2047300,227171436,250887321,247945151,388483,2082603,0,46,675777,143208779,6,M1
106243954,2063773,228730921,248917069,247973137,381563,2060439,0,34,692944,143289876,6,M1
85691165,1085067,232065079,404265921,505333869,794431,1721325,0,31,697308,144795847,13,M1
53917803,2098180,229585741,498276383,496027417,388172,1071820,0,37,673788,287026912,13,M1
52697938,2193699,230656550,494479966,246850572,391049,2186493,0,36,691742,286716310,13,M1
105584155,1052964,224306031,390708935,485731636,377156,1705903,0,28,683204,224923947,13,M1
84990222,2071080,229798516,394614213,247429808,376056,2034675,0,27,682360,284980645,13,M1
52226958,1063790,228452583,491063793,246177101,771229,2096554,0,33,682007,285456671,13,M1
53239147,2126357,228255118,493479710,248200786,382397,2118622,0,29,685639,283388976,13,M1
52463798,2055984,231206985,245482066,489556552,392530,1027015,0,31,691032,288307517,6,M1
85722925,2158928,230441954,398908042,499522748,391626,1708853,0,32,682793,143513739,13,M1
52601288,2068939,225996123,488239085,488875886,376197,1034881,0,31,683390,280943263,6,M1
53365325,2053782,225702460,247455621,491854531,388360,1026386,0,24,704823,282681746,6,M1
54037276,2157148,228912970,503432290,501382680,398960,1083096,0,35,689286,287551871,13,M1
101492225,2020087,222871322,239021376,239328294,373756,2061172,0,28,676083,138904917,6,M1
52527061,2164939,229071401,490512662,492480657,382763,1081139,0,38,694106,285814230,6,M1
52586270,2082799,229249840,489208377,490450624,385109,1050540,0,42,696746,285097070,13,M1
53349071,2154732,227027653,391468759,490399531,383270,1766276,0,24,680836,227504869,13,M1
53719870,2143433,230410403,493597320,496247040,394541,1076143,0,34,686875,288016988,6,M1
85356649,1080878,229118784,394989175,494767836,389864,1751154,0,32,685193,286664880,13,M1
53140287,1044906,229795937,499160921,249091890,764082,2087513,0,25,679925,287267139,13,M1
52936407,1102416,230602636,496950281,249431704,778546,2213436,0,27,687204,286141569,13,M1
105599281,2185153,228933012,486737584,245616915,387250,2204077,0,33,697799,142594996,13,M1
85271530,1067433,227261763,396918492,497045977,382581,1712508,0,29,682936,281895479,13,M1
52321229,2135563,229831791,488225160,491492447,391070,1077861,0,32,681338,286365192,6,M1
107312182,1061099,230039574,497101126,248711607,770687,2108039,0,26,686031,143227408,13,M1
50288513,1050361,222530399,465748859,234440814,722910,2124866,0,30,763591,277481744,13,M1
52348417,2197923,232296033,491614152,244815088,391028,2203784,0,30,793655,290914870,6,M1
108396749,1038646,233012041,498903005,253166301,783308,2054382,0,42,693354,144500250,6,M1
52859072,2047406,228276321,495830546,494615367,392211,1027830,0,31,688165,286427892,6,M1
53386672,2214246,230483018,497714862,248655251,396488,2250364,0,30,720992,286945216,13,M1
52978879,1054666,230607827,490283864,247058269,763408,2108823,0,46,708093,285198287,13,M1
106073345,1078906,226405615,247462585,494229663,800120,1102284,0,27,692375,141754831,13,M1
108947141,2221581,231840075,251553382,501805062,389694,1114811,0,34,684755,144735782,13,M1
54008328,2232019,232640558,498107200,498910917,398217,1130947,0,31,694282,290228076,13,M1
113488623,12434355,1021900221,1048296068,1046394354,602905,6258872,0,13,3723083,1277755878,34,M3
112482537,12097020,1021085555,829564949,1038364837,597048,9943579,0,13,3660078,1022108342,61,M3
221038456,6236043,1022776398,824833400,515195408,1172700,10122706,0,12,3754727,1019203439,60,M3
111723642,6070978,1016766807,1034989966,516902875,1186886,6067346,0,13,3742802,1269415593,70,M3
111828513,6189352,1026074713,1034985802,1035515555,1186064,6187864,0,13,3738186,1279028792,70,M3
224227990,6055558,1023188860,521127610,522932966,1190328,12070265,0,13,3693182,638531090,69,M3
112040534,6013348,1008412181,520593845,1038945348,593664,6018027,0,13,3629535,631407900,35,M3
112460769,6065099,1020046329,522590198,522940829,596823,12125005,0,13,3688947,1275593342,35,M3
178118137,12307702,1011795172,823394204,1030302745,596143,9869180,0,13,3708475,633339931,71,M3
224045639,6200406,1024957050,830934749,518902146,595731,10088920,0,13,3759288,1023982196,61,M3
112689769,12132541,1016515058,521437353,1039478345,598116,6099820,0,13,3695657,1270468661,35,M3
225421755,6140348,1021134825,524192732,523096888,1194452,6142284,0,13,3691806,641002237,35,M3
113433149,12312972,1031950260,1041789963,1042699900,600976,6209353,0,13,3795500,1287891515,35,M3
113210800,12416493,1037482735,1049620936,525433686,601815,12402910,0,13,3740197,1292276866,71,M3
111184773,12123274,1010821996,1030161340,515519011,592018,6058791,0,13,3626947,632069042,69,M3
112760982,12434572,1036747289,523910328,1044648648,601012,6227604,0,13,3765899,1297649442,35,M3
111739147,12118854,1018154663,1036549690,518833224,594057,6063669,0,13,3711570,1268624325,70,M3
113598493,6167150,1041588012,1049061446,526956934,602772,12306514,0,13,3761748,1296969896,70,M3
223012735,6061768,1026633254,518231119,519035715,1188733,12104538,0,13,3728586,641147308,35,M3
111633093,5989046,1009529435,1028244588,516325982,594568,6000370,0,14,3668514,1259875031,70,M3
111250699,12548206,1011995253,513203026,1022577478,591188,6294310,0,13,3685209,1265402469,35,M3
111721140,5996787,1005957607,517130645,516477972,1179185,5994544,0,13,3645920,1255042062,69,M3
113205365,12211957,1026995620,1045725108,1048947566,599077,6117934,0,13,3726423,1282896507,70,M3
113124205,12320339,1033133527,522660226,1041954492,600820,6199620,0,13,3759093,1295600434,36,M3
111057443,6003987,1003272856,514866963,512186712,588482,6017118,0,13,3690089,628416395,34,M3
112893780,12558214,1035007015,524587994,522413851,603459,6305360,0,13,3769690,646887910,35,M3
111423746,12181336,1009671782,517619743,1031673279,589591,6115813,0,13,3679221,1262293834,34,M3
223154143,6012636,1010710917,517313882,517791270,1179870,11965400,0,13,3705817,631228744,70,M3
112604520,12265365,1024033472,833504624,1040272261,596598,10024057,0,13,3721290,1022479905,60,M3
223772768,6063611,1026872836,518215441,518594283,1183496,12093598,0,13,3841006,642018493,35,M3
223445616,6123666,1026920828,517500614,518070801,596374,6125300,0,13,3787302,642544789,35,M3
112241867,6206323,1016954471,1034391144,518729363,1185200,12372423,0,13,3662464,634384377,70,M3
222164772,5934268,1008307835,518026080,518394086,585599,11831829,0,14,3656832,632008069,69,M3
114450015,6332514,1043694219,1058874094,531624288,610087,6316921,0,13,3780795,1301607926,71,M3
114179174,6249035,1041963157,1058798717,530568949,607500,6252080,0,13,3792641,1301218232,71,M3
228853703,6225322,1042641805,530177866,530553736,1213467,12420596,0,13,3777583,651682055,36,M3
112744393,12136751,1021817143,1041020219,520682943,597580,6088936,0,13,3681653,1270583984,70,M3
226505464,6119222,1029292877,1048241925,1050752848,1202573,6115719,0,13,3748790,643629757,70,M3
223041561,6155401,1025882617,517481160,519041164,1183041,12225888,0,13,3799659,639798928,69,M3
111939389,12119812,1012746203,517985912,1033420396,594427,6089850,0,12,3686616,1268180026,35,M3
113425958,6303202,1027327144,1050705936,1049274077,1197114,6302930,0,13,3701061,1283883634,35,M3
112352451,12297251,1020807305,519376457,1034373854,596443,6180597,0,13,3701037,1278043628,35,M3
111614025,6099292,1017468387,1031425779,517680794,1186638,12203691,0,13,3734707,635052821,70,M3
179201717,12605775,1033865178,832417449,520663126,598580,6303072,0,12,3792630,648019613,68,M3
176651115,6004477,1008454440,813030961,510765865,581510,12010734,0,12,3677668,1254039036,66,M3
111574608,6163451,1014260691,515140289,514793442,593527,6172097,0,13,3673977,1269427512,35,M3
222341004,6157538,1016800167,513653265,516054064,1176380,12234778,0,13,3710622,634491203,69,M3
112442461,6291817,1024155671,1042368698,521479061,1202387,12530044,0,13,3718158,1278604949,35,M3
112709888,6203905,1022179323,1042568017,522040499,598977,12401291,0,13,3672798,1273605903,70,M3
220303675,6103902,1016229095,1022994682,511819405,591550,6113075,0,13,3716154,634467410,70,M3
