M0;M1;M2;M3
0.002119432635394779;0.9978788214301466;4.1391479357279096E-16;1.7459344582257054E-6
0.001994276493318273;0.9980034667536214;5.345335971507768E-16;2.2567530597632684E-6
0.001994790805242884;0.9980031419712546;4.897613193014837E-16;2.0672235020237485E-6
0.9971494630032038;0.0028443955970685534;1.4579053394987831E-15;6.1413997259376595E-6
0.001996286755646896;1.5648691483345932E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.00199628675564691;1.5648691483346891E-6;5.564602662031515E-16;0.9980021483752042
0.0019962867556432996;1.5648691483797966E-6;5.56460266203801E-16;0.9980021483752078
0.0019953670110825768;1.7783368183230748E-6;6.32086587356494E-16;0.9980028546520984
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755646889;1.5648691483345364E-6;5.56460266203154E-16;0.9980021483752042
0.001996286755580838;1.5648691490611277E-6;5.564602662157716E-16;0.9980021483752695
0.0019962867556478567;1.5648691483383174E-6;5.56460266203349E-16;0.9980021483752032
0.0019962867556478567;1.5648691483383174E-6;5.56460266203349E-16;0.9980021483752032
0.0019962867556468414;1.5648691483347704E-6;5.564602662031612E-16;0.9980021483752042
0.0019962867556468414;1.5648691483347704E-6;5.564602662031612E-16;0.9980021483752042
0.0019962867556478567;1.5648691483383174E-6;5.56460266203349E-16;0.9980021483752032
0.0019962867556464633;1.5648691483389114E-6;5.564602662032191E-16;0.9980021483752047
0.0019962867556392633;1.5648691484179563E-6;5.564602662042629E-16;0.9980021483752117
0.0019962867556392633;1.5648691484179563E-6;5.564602662042629E-16;0.9980021483752117
0.0019962867556464633;1.5648691483389114E-6;5.564602662032191E-16;0.9980021483752047
0.0019962867556392633;1.5648691484179563E-6;5.564602662042629E-16;0.9980021483752117
0.0019962867556392633;1.5648691484179563E-6;5.564602662042629E-16;0.9980021483752117
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.0030019182450521683;2.7137536707243034E-6;9.651148706967024E-16;0.9969953680012761
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.0021903006773058473;1.7703441592788727E-6;6.295418838350326E-16;0.9978079289785343
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.989157179544104;2.7989814954077308E-5;9.971167865307933E-15;0.010814830640931828
0.9958730269327414;7.644435744724862E-6;2.7212399928076988E-15;0.0041193286315111015
0.9974990242730459;3.980806554990474E-6;1.41670092624592E-15;0.0024969949203977096
0.997050147428979;4.923258555617149E-6;1.752240232367088E-15;0.002944929312463631
0.997050147428979;4.923258555617149E-6;1.752240232367088E-15;0.002944929312463631
0.997050147428979;4.923258555617149E-6;1.752240232367088E-15;0.002944929312463631
0.997050147428979;4.923258555617149E-6;1.752240232367088E-15;0.002944929312463631
0.997050147428979;4.923258555617149E-6;1.752240232367088E-15;0.002944929312463631
0.9974136864409081;4.15840048315443E-6;1.4799279009546283E-15;0.002582155158607439
0.9974136864409081;4.15840048315443E-6;1.4799279009546283E-15;0.002582155158607439
0.9974136864409081;4.15840048315443E-6;1.4799279009546283E-15;0.002582155158607439
0.9974112212307948;4.161301728276162E-6;1.4809599510959372E-15;0.0025846174674753982
0.9974112212307948;4.161301728276162E-6;1.4809599510959372E-15;0.0025846174674753982
0.9974136864409081;4.15840048315443E-6;1.4799279009546283E-15;0.002582155158607439
0.9974112212307948;4.161301728276162E-6;1.4809599510959372E-15;0.0025846174674753982
0.9974112212307948;4.161301728276162E-6;1.4809599510959372E-15;0.0025846174674753982
0.9974136864409081;4.15840048315443E-6;1.4799279009546283E-15;0.002582155158607439
0.9974112212307948;4.161301728276162E-6;1.4809599510959372E-15;0.0025846174674753982
2.076769988193336E-4;0.0028601112167683383;2.8713057053951854E-14;0.9969322117843836
0.0013590370793290475;0.0010181534163651667;1.2599961600819849E-13;0.9976228095041798
0.0013590370793290475;0.0010181534163651667;1.2599961600819849E-13;0.9976228095041798
0.0013590370793290475;0.0010181534163651667;1.2599961600819849E-13;0.9976228095041798
0.0013590370793290475;0.0010181534163651667;1.2599961600819849E-13;0.9976228095041798
0.0013590370793290475;0.0010181534163651667;1.2599961600819849E-13;0.9976228095041798
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.903320323096005E-6;0.0031911249768180727;6.979669638932355E-16;0.9968039717028581
4.90333796766821E-6;0.003191122904154757;6.979695175657008E-16;0.9968039737578768
4.90333796766821E-6;0.003191122904154757;6.979695175657008E-16;0.9968039737578768
4.90341438104934E-6;0.0031911139281835714;6.979803913696805E-16;0.9968039826574345
4.90333796766821E-6;0.003191122904154757;6.979695175657008E-16;0.9968039737578768
4.903321272505911E-6;0.003191124865293018;6.979671076043402E-16;0.9968039718134337
4.903321272505911E-6;0.003191124865293018;6.979671076043402E-16;0.9968039718134337
0.0019982981135853195;1.6077227791281637E-6;5.71649283436979E-16;0.998000094163635
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019982981135853195;1.6077227791281637E-6;5.71649283436979E-16;0.998000094163635
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019982981135853195;1.6077227791281637E-6;5.71649283436979E-16;0.998000094163635
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.001992672677255381;6.887897599486738E-6;2.4297847858451553E-15;0.9980004394251428
0.0019947221790765444;1.7865740480002413E-6;6.350032336298091E-16;0.9980034912468749
0.001992672677255381;6.887897599486738E-6;2.4297847858451553E-15;0.9980004394251428
0.001992672677255381;6.887897599486738E-6;2.4297847858451553E-15;0.9980004394251428
0.001992672677255381;6.887897599486738E-6;2.4297847858451553E-15;0.9980004394251428
